"Timestamp","Gender","Age Range","What types of jewelry do you wear regularly?","What do you look for in your jewelry? Pick up to TWO options.","Which style below best describes your earring design preference? ","What types of jewelry do you mainly purchase?","How much are you comfortable spending on fashion earrings?","How much are you comfortable spending on fine / semi-fine / demi-fine earrings?","How much are you comfortable spending on domestic shipping?","Most of my jewelry pieces are bought","I often shop for jewelry online","I prefer purchasing jewelry from a website instead of an Instagram store ","I take good care of my fashion jewelry and pieces that tarnish easily ","Thank you for completing this survey! Please enter your Instagram username below:",""
"2020/11/13 10:38:50 AM GMT+8","Female","18 - 23","Earrings","Style / Design;Quality","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","RM 60 - 80","Below RM5","Planned","2","4","2","@foodadventureswme",""
"2020/11/13 11:27:10 AM GMT+8","Female","Under 18","Earrings","Style / Design;Quality;Craftmanship","it’s either silver huggies or mismatched","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","Below RM 20","Below RM5","Implusively / Unplanned","3","4","4","@_siew_later_",""
"2020/11/13 11:49:03 AM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Quality","Elegant","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 60 - 80","RM 5 - 7","Implusively / Unplanned","4","2","4","@eugeniemunn",""
"2020/11/13 12:39:10 PM GMT+8","Female","18 - 23","Earrings","Quality;Comfort","Minimal, Simple","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 40 - 60","Below RM5","Planned","2","3","1","yumei_khi",""
"2020/11/13 12:52:34 PM GMT+8","Female","18 - 23","Earrings","Style / Design;Comfort","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 40 - 60","Below RM5","Planned","3","2","1","mz.kyo",""
"2020/11/14 2:02:50 AM GMT+8","Male","18 - 23","Necklaces;Bracelets / Cuffs;Watches","Style / Design;Comfort;Price","Minimal, Simple","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","RM 20 - 30","RM 60 - 80","RM 5 - 7","Implusively / Unplanned","3","2","3","NA",""
"2020/11/15 2:03:56 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches;Anklets","Style / Design;Quality","Minimal, Simple","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 20 - 30","RM 40 - 60","Below RM5","Planned","5","4","3","@nataliemlyx",""
"2020/11/15 7:34:05 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Bracelets / Cuffs;Watches","Comfort;Price","Resin Handmade","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","Below RM 20","Below RM5","Implusively / Unplanned","2","2","5","@dorothyyeong",""
"2020/11/17 12:56:18 PM GMT+8","Female","24 - 29","Earrings;Necklaces;Rings (not including wedding ring);Watches;Anklets","Style / Design;Quality;Comfort;Price;Craftmanship","Minimal, Simple","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 20 - 40","Below RM5","Planned","3","3","5","charmaineyeap",""
"2020/11/18 8:24:09 PM GMT+8","Female","18 - 23","Earrings;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Comfort","Silver Huggies","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","4","4","2","l3.59am",""
"2020/11/19 5:26:59 AM GMT+8","Female","18 - 23","Earrings;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Craftmanship","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","RM 40 - 60","RM 5 - 7","Implusively / Unplanned","3","3","4","celinetaan",""
"2020/11/19 9:53:35 AM GMT+8","Female","Under 18","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Quality;Craftmanship","Silver Huggies","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","RM 10 - 20","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","4","3","4","Vs07f",""
"2020/11/19 9:53:58 AM GMT+8","Female","24 - 29","Necklaces;Bracelets / Cuffs","Style / Design;Quality;Price","Elegant","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","RM 20 - 30","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","3","2","2","Leencoolbeans",""
"2020/11/19 9:57:06 AM GMT+8","Male","30+","Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Quality;Comfort;Price;Craftmanship","Minimal, Simple","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","Above RM 40","Above RM 80","RM 5 - 7","Planned","3","4","5","@ameereeka",""
"2020/11/19 10:30:59 AM GMT+8","Female","24 - 29","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Quality;Price;Craftmanship","Silver Huggies","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","RM 20 - 30","RM 40 - 60","Below RM5","Implusively / Unplanned","2","2","2","Justmemoney",""
"2020/11/19 10:31:18 AM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Trend;Quality;Price","Elegant","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 40 - 60","Below RM5","Implusively / Unplanned","5","1","3","@fiocupu",""
"2020/11/19 10:51:35 AM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design;Quality;Price;Craftmanship","Minimal, Simple","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","Below RM 10","RM 20 - 40","RM 5 - 7","Planned","3","4","2","@kelynn_lee",""
"2020/11/19 11:09:21 AM GMT+8","Female","Under 18","Earrings;Necklaces;Rings (not including wedding ring);Anklets","Style / Design;Quality;Price","Silver Huggies","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 20 - 40","Below RM5","Implusively / Unplanned","4","3","5","@milopingkawww",""
"2020/11/19 11:25:32 AM GMT+8","Female","18 - 23","Earrings;Rings (not including wedding ring)","Style / Design","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","Above RM 40","Above RM 80","Above RM 7","Implusively / Unplanned","3","3","1","j0ey.k",""
"2020/11/19 11:35:23 AM GMT+8","Female","18 - 23","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Quality","Minimal, Simple","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 20 - 30","RM 40 - 60","Below RM5","Implusively / Unplanned","4","2","3","@sheryyllee",""
"2020/11/19 2:35:29 PM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design;Price","Mismatch","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","Above RM 40","RM 60 - 80","RM 5 - 7","Implusively / Unplanned","5","2","5","susannaking._",""
"2020/11/19 2:38:28 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Bracelets / Cuffs","Style / Design;Trend;Quality;Comfort;Price","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","RM 20 - 40","Below RM5","Implusively / Unplanned","5","5","4","gracezhanen",""
"2020/11/19 3:31:01 PM GMT+8","Female","18 - 23","Earrings;Bracelets / Cuffs;Watches","Style / Design;Price","Elegant","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","Below RM 10","RM 20 - 40","RM 5 - 7","Planned","5","2","3","___sarahjane__",""
"2020/11/19 5:42:47 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Trend","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 20 - 40","Below RM5","Implusively / Unplanned","3","2","3","joyemiliaboh",""
"2020/11/19 8:59:53 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Quality","Elegant","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 40 - 60","Below RM5","Planned","2","4","4","zoweexoxo",""
"2020/11/21 7:51:34 AM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design;Quality;Price;Designer / Brand","Silver Huggies","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 30 - 40","RM 20 - 40","Below RM5","Implusively / Unplanned","3","4","5","chloeelimm_",""
"2020/11/21 10:48:56 AM GMT+8","Female","18 - 23","Necklaces;Rings (not including wedding ring)","Style / Design;Price","Mismatch","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","I do not purchase fashion earrings at all","I do not purchase fine / semi-fine / demi-fine earrings at all","Above RM 7","Implusively / Unplanned","4","3","3","evianlim",""
"2020/11/21 11:09:53 AM GMT+8","Male","18 - 23","I don't wear jewelry","Style / Design;Designer / Brand","Elegant","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","I do not purchase fashion earrings at all","RM 20 - 40","Below RM5","Implusively / Unplanned","3","3","4","limjovi7",""
"2020/11/21 11:16:24 AM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design;Quality;Price;Craftmanship","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","RM 20 - 40","Below RM5","Implusively / Unplanned","4","3","3","@quaaahhhh",""
"2020/11/21 11:17:21 AM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Trend;Quality;Comfort;Price;Designer / Brand;Craftmanship","Statement, Bold","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","Below RM 10","Below RM 20","RM 5 - 7","Implusively / Unplanned","2","4","1","Jan ",""
"2020/11/21 11:59:43 AM GMT+8","Female","18 - 23","Earrings;Necklaces","Style / Design;Quality;Comfort","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 30 - 40","RM 40 - 60","RM 5 - 7","Planned","2","5","2","@celiseng",""
"2020/11/21 12:34:09 PM GMT+8","Female","18 - 23","Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Trend","Mismatch","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","Above RM 40","Above RM 80","RM 5 - 7","Planned","4","4","4","shlzhe",""
"2020/11/21 1:21:04 PM GMT+8","Female","18 - 23","Earrings","Style / Design;Quality","Mismatch","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","RM 60 - 80","RM 5 - 7","Implusively / Unplanned","3","4","4","@pwincesssoya",""
"2020/11/21 2:57:55 PM GMT+8","Female","18 - 23","Earrings;Necklaces;Rings (not including wedding ring);Watches","Style / Design;Trend;Quality;Designer / Brand;Craftmanship","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 40 - 60","Below RM5","Implusively / Unplanned","4","4","2","jialingg__",""
"2020/11/21 2:58:22 PM GMT+8","Male","18 - 23","Bracelets / Cuffs;Watches","Style / Design;Quality;Comfort","Minimal, Simple","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","RM 20 - 40","Below RM5","Implusively / Unplanned","4","1","4","teikjian",""
"2020/11/21 2:59:24 PM GMT+8","Female","18 - 23","Necklaces;Bracelets / Cuffs","Quality;Comfort;Craftmanship","Elegant","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","Below RM 10","RM 40 - 60","RM 5 - 7","Implusively / Unplanned","3","4","2","Hi bij I miss you ",""
"2020/11/21 3:09:03 PM GMT+8","Male","18 - 23","I don't wear jewelry","Style / Design;Trend;Quality;Comfort;Price","Elegant","None of the above","I do not purchase fashion earrings at all","I do not purchase fine / semi-fine / demi-fine earrings at all","Below RM5","Planned","2","2","2","n/a",""
"2020/11/21 3:10:08 PM GMT+8","Male","18 - 23","Earrings","Style / Design;Quality;Comfort","Silver Huggies","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","Above RM 40","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","3","3","2","bryenaeria",""
"2020/11/21 3:49:40 PM GMT+8","Male","18 - 23","Necklaces;Watches","Style / Design;Price","Silver Huggies","None of the above","I do not purchase fashion earrings at all","RM 20 - 40","Below RM5","Planned","2","3","4","yuchennlee",""
"2020/11/21 4:33:32 PM GMT+8","Male","18 - 23","Earrings","Style / Design;Quality;Comfort","Silver Huggies","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","Above RM 40","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","3","3","2","bryenaeria",""
"2020/11/21 4:42:36 PM GMT+8","Male","18 - 23","Necklaces;Bracelets / Cuffs;Watches","Style / Design;Price","Elegant","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","I do not purchase fashion earrings at all","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","5","1","3","N/a",""
"2020/11/21 4:49:26 PM GMT+8","Female","Under 18","Earrings;Rings (not including wedding ring);Watches","Style / Design;Quality","Silver Huggies","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 20 - 40","Below RM5","Planned","5","5","5","piikaa._",""
"2020/11/21 5:36:44 PM GMT+8","Female","Under 18","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Quality","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","Below RM 20","RM 5 - 7","Implusively / Unplanned","3","3","4","@vanessa0318__",""
"2020/11/21 5:36:49 PM GMT+8","Female","Under 18","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Quality","Silver Huggies","Fine / Semi-fine / Demi-fine jewelry -- Costlier and higher quality jewelry that can be worn day in and day out","RM 10 - 20","Below RM 20","RM 5 - 7","Implusively / Unplanned","3","3","4","@vanessa0318__",""
"2020/11/21 5:46:34 PM GMT+8","Female","18 - 23","Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Price","Silver Huggies","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","5","4","2","wenmitt",""
"2020/11/21 5:54:14 PM GMT+8","Female","30+","Earrings","Style / Design;Trend","Resin Handmade","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 20 - 30","RM 20 - 40","RM 5 - 7","Implusively / Unplanned","4","1","1","premamargali24 ",""
"2020/11/21 5:54:39 PM GMT+8","Female","24 - 29","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs","Style / Design;Price","Silver Huggies","Fashion jewelry -- Inexpensive jewelry made out of non-precious stones, metals and immitation gems","RM 10 - 20","Below RM 20","Below RM5","Implusively / Unplanned","3","3","3","@Missnayyaa",""
"2020/11/21 6:00:14 PM GMT+8","Female","30+","Earrings;Necklaces;Rings (not including wedding ring);Bracelets / Cuffs;Watches","Style / Design;Craftmanship","Minimal, Simple","Handcrafted / Handmade jewelry -- Artisan jewelry assembled or made by hand","Above RM 40","RM 60 - 80","Above RM 7","Implusively / Unplanned","5","5","5","marywong570 ",""
